date,pr_count
2018-03-13,5
2018-03-14,4
2018-03-15,3
2018-03-16,3
2018-03-18,5
2018-03-19,6
2018-03-20,2
2018-03-27,1
2018-04-11,1
2018-06-06,2
2018-06-07,3
2018-06-08,1
2018-09-20,1
2018-10-18,6
2018-10-24,1
2018-11-08,8
2018-11-12,1
2018-11-14,1
2018-11-15,1
2018-11-16,2
2018-11-17,1
2018-11-19,2
2018-11-29,1
2018-11-30,1
2018-12-11,2
2018-12-12,2
2018-12-13,1
2018-12-14,3
2018-12-17,3
2018-12-18,1
2018-12-21,1
2019-06-17,1
2019-10-11,1
2019-12-17,1
2019-12-23,1
2020-01-08,1
2020-01-16,1
2020-04-14,1
2020-04-20,1
2020-05-05,1
2020-05-14,1
2020-05-15,3
2020-06-14,1
2020-06-20,1
2020-06-29,1
2020-07-31,1
2020-08-18,2
2020-09-01,1
2020-10-02,1
2020-10-07,1
2020-10-08,1
2020-10-11,1
2020-10-23,1
2020-10-26,1
2020-11-18,1
2020-11-19,2
2020-12-03,1
2021-02-03,1
2021-02-04,1
2021-02-06,1
2021-02-17,1
2021-02-24,1
2021-03-31,1
2021-06-22,3
2021-06-23,1
2021-06-30,2
2021-07-06,2
2021-07-16,5
2021-07-19,2
2021-07-21,3
2021-07-22,1
2021-07-23,3
2021-07-26,1
2021-07-27,1
2021-07-28,1
2021-08-18,1
2021-09-22,1
2021-09-28,2
2021-10-06,1
2021-10-11,2
2021-10-12,5
2021-10-21,1
2021-12-15,2
2021-12-19,1
2022-02-14,1
2022-02-19,1
2022-03-17,1
2022-03-18,2
2022-03-22,1
2022-03-30,1
2022-04-12,1
2022-04-20,1
2022-05-11,1
2022-05-12,1
2022-05-13,4
2022-05-16,1
2022-05-18,1
2022-06-07,1
2022-06-08,1
2022-06-09,1
2022-06-22,1
2022-06-29,2
2022-06-30,2
2022-07-01,2
2022-07-04,2
2022-07-05,5
2022-07-06,2
2022-07-08,2
2022-07-12,1
2022-07-28,1
2022-08-02,1
2022-08-03,1
2022-08-05,1
2022-08-08,4
2022-08-17,1
2022-08-22,1
2022-09-02,9
2022-09-05,1
2022-09-06,3
2022-09-07,1
2022-09-08,1
2022-09-09,1
2022-09-11,1
2022-09-12,3
2022-09-14,13
2022-09-15,4
2022-09-17,1
2022-09-26,1
2022-09-30,1
2022-10-03,1
2022-10-06,1
2022-10-07,1
2022-10-10,2
2022-10-17,2
2022-10-18,1
2022-10-20,1
2022-10-21,1
2022-10-25,1
2022-10-26,1
2022-10-27,2
2022-10-28,3
2022-11-06,1
2022-11-09,2
2022-11-10,1
2022-11-14,2
2022-11-15,1
2022-11-16,3
2022-11-21,1
2022-12-05,1
2022-12-07,2
2022-12-12,1
2022-12-13,5
2022-12-15,5
2022-12-16,6
2022-12-19,2
2022-12-20,2
2022-12-23,1
2022-12-28,1
2023-01-02,2
2023-01-05,1
2023-01-06,2
2023-01-09,1
2023-01-11,1
2023-01-13,1
2023-01-16,2
2023-01-17,4
2023-01-18,1
2023-01-19,1
2023-01-23,1
2023-01-24,1
2023-01-28,1
2023-01-30,2
2023-01-31,2
2023-02-01,1
2023-02-02,1
2023-02-09,1
2023-02-13,3
2023-02-15,3
2023-02-16,1
2023-02-17,3
2023-02-20,2
2023-02-21,1
2023-02-23,2
2023-02-24,1
2023-02-28,1
2023-03-01,3
2023-03-02,1
2023-03-03,5
2023-03-13,1
2023-03-15,1
2023-03-20,2
2023-03-29,3
2023-03-31,1
2023-04-04,1
2023-04-05,3
2023-04-06,1
2023-04-07,1
2023-04-18,1
2023-04-20,1
2023-04-24,1
2023-05-04,1
2023-05-16,5
2023-05-22,2
2023-05-30,4
2023-06-01,3
2023-06-02,1
2023-06-07,1
2023-06-08,1
2023-06-09,3
2023-06-10,2
2023-06-11,2
2023-06-12,4
2023-06-13,4
2023-06-14,2
2023-06-15,10
2023-06-21,1
2023-06-22,1
2023-06-23,1
2023-06-26,2
2023-06-30,1
2023-07-17,9
2023-07-18,10
2023-07-19,3
2023-07-20,11
2023-07-21,5
2023-07-28,2
2023-07-31,7
2023-08-18,7
2023-08-21,5
2023-08-23,1
2023-08-24,2
2023-08-25,1
2023-08-28,2
2023-08-29,1
2023-08-31,2
2023-09-01,1
2023-09-05,1
2023-09-06,1
2023-09-07,1
2023-09-08,1
2023-09-11,2
2023-09-20,2
2023-09-21,2
2023-09-26,3
2023-09-27,2
2023-09-29,8
2023-10-04,3
2023-10-05,1
2023-10-06,1
2023-10-08,1
2023-10-09,2
2023-10-13,1
2023-10-16,4
2023-10-18,1
2023-10-19,2
2023-10-23,1
2023-10-25,1
2023-10-26,1
2023-10-28,2
2023-11-01,1
2023-11-02,2
2023-11-09,3
2023-11-13,2
2023-11-14,2
2023-11-15,2
2023-11-17,1
2023-11-21,3
2023-11-22,1
2023-11-24,1
2023-11-29,1
2023-12-05,2
2023-12-08,1
2023-12-09,1
2023-12-11,3
2023-12-12,4
2023-12-13,3
2023-12-14,2
2023-12-15,3
2023-12-18,1
2024-01-08,1
2024-01-16,1
2024-01-22,1
2024-01-23,6
2024-01-24,1
2024-01-25,1
2024-02-13,1
2024-02-14,1
2024-02-17,1
2024-03-07,1
2024-03-13,1
2024-03-20,1
2024-03-25,1
2024-04-25,1
2024-05-02,1
2024-05-03,1
2024-05-15,1
2024-05-28,5
2024-05-29,2
2024-05-31,1
2024-06-03,2
2024-06-04,1
2024-06-05,1
2024-06-06,2
2024-06-07,4
2024-06-10,2
2024-06-11,1
2024-06-12,3
2024-06-13,2
2024-06-17,11
2024-06-18,4
2024-06-19,5
2024-06-21,1
2024-06-24,2
2024-06-25,3
2024-07-01,4
2024-07-02,8
2024-07-12,9
2024-07-15,1
2024-07-16,3
2024-07-22,2
2024-07-24,7
2024-07-25,2
2024-07-29,1
2024-07-31,3
2024-08-01,2
2024-08-02,5
2024-08-05,3
2024-08-20,1
2024-08-22,1
2024-08-29,1
2024-09-02,3
2024-09-03,3
2024-09-04,1
2024-09-05,6
2024-09-09,2
2024-09-10,4
2024-09-12,1
2024-09-16,3
2024-09-19,3
2024-09-20,2
2024-09-23,4
2024-09-24,1
2024-09-25,3
2024-09-26,1
2024-09-27,3
2024-09-30,2
2024-10-01,1
2024-10-07,7
2024-10-08,3
2024-10-14,1
2024-10-16,1
2024-10-17,2
2024-10-20,1
2024-10-21,1
2024-10-22,3
2024-10-26,1
2024-10-28,2
2024-10-29,1
2024-11-09,1
2024-11-11,1
2024-11-14,3
2024-11-18,2
2024-11-19,1
2024-11-21,5
2024-11-22,1
2024-11-25,2
2024-11-26,2
2024-11-27,3
2024-11-29,3
2024-12-02,1
2024-12-03,1
2024-12-06,2
2024-12-07,6
2024-12-09,3
2024-12-10,1
2024-12-11,4
2024-12-12,1
2024-12-13,1
2024-12-15,1
2024-12-23,1
2025-01-06,1
2025-01-10,2
2025-01-12,1
2025-01-13,1
2025-01-14,1
2025-01-19,1
2025-01-27,6
2025-02-03,1
2025-02-04,3
2025-02-05,1
2025-02-07,1
2025-02-09,1
2025-02-14,1
2025-02-17,1
2025-02-18,2
2025-02-24,1
2025-02-26,1
2025-03-03,1
2025-03-17,1
2025-03-18,1
2025-03-19,2
2025-03-28,1
2025-03-31,2
2025-04-01,1
2025-04-02,3
2025-04-03,9
2025-04-06,1
2025-04-07,1
2025-04-09,1
2025-04-11,14
2025-04-12,3
2025-04-13,1
2025-04-14,2
2025-04-15,2
2025-04-16,4
2025-04-20,1
2025-04-21,1
2025-04-22,1
2025-04-23,2
2025-04-24,3
2025-04-25,2
2025-04-27,1
2025-04-28,2
2025-04-29,1
2025-04-30,9
2025-05-02,5
2025-05-04,1
2025-05-05,1
2025-05-06,1
2025-05-08,1
2025-05-12,2
2025-05-13,1
2025-05-14,2
2025-05-15,3
2025-05-16,5
2025-05-19,1
2025-05-21,4
2025-05-22,3
2025-05-23,2
2025-05-26,2
2025-05-27,4
2025-06-02,1
2025-06-03,1
2025-06-06,4
2025-06-08,1
2025-06-13,1
2025-06-15,1
2025-06-16,1
2025-06-17,1
2025-06-18,2
2025-06-19,4
2025-06-20,4
2025-06-23,1
2025-06-24,3
2025-06-25,1
2025-06-26,1
2025-06-27,3
2025-07-01,1
2025-07-02,1
2025-07-03,2
2025-07-06,1
2025-07-08,1
2025-07-09,10
2025-07-10,3
2025-07-11,2
2025-07-15,2
2025-07-16,1
2025-07-17,2
2025-07-18,3
2025-07-19,1
2025-07-20,1
2025-07-21,3
2025-07-22,3
2025-07-23,4
2025-07-24,5
2025-07-25,3
2025-07-30,1
2025-08-06,1
2025-08-08,1
2025-08-10,1
2025-08-14,2
2025-08-15,1
2025-08-22,2
2025-08-25,2
2025-08-26,1
2025-08-27,2
2025-08-28,2
